ClaimID,PolicyID,ClaimType,ClaimAmount,ClaimStatus,ClaimDate,AdjusterID
C001,P080,Accident,1868,Closed,2021-01-01,A014
C002,P013,Accident,7095,Open,2021-01-08,A007
C003,P078,Theft,13677,Open,2021-01-15,A009
C004,P040,Natural Disaster,17637,In Review,2021-01-22,A019
C005,P060,Accident,2158,In Review,2021-01-29,A005
C006,P085,Accident,4216,Closed,2021-02-05,A003
C007,P010,Theft,13902,Closed,2021-02-12,A013
C008,P032,Theft,14909,In Review,2021-02-19,A007
C009,P060,Natural Disaster,16089,In Review,2021-02-26,A015
C010,P016,Theft,16224,Open,2021-03-05,A009
C011,P045,Theft,15554,In Review,2021-03-12,A006
C012,P027,Accident,19331,In Review,2021-03-19,A015
C013,P082,Accident,6441,In Review,2021-03-26,A007
C014,P057,Natural Disaster,19327,Open,2021-04-02,A008
C015,P027,Theft,19509,Closed,2021-04-09,A010
C016,P010,Accident,16280,Open,2021-04-16,A014
C017,P059,Accident,10572,Closed,2021-04-23,A012
C018,P097,Accident,18312,In Review,2021-04-30,A017
C019,P009,Accident,2989,Closed,2021-05-07,A004
C020,P041,Natural Disaster,14483,In Review,2021-05-14,A019
C021,P049,Theft,2228,Closed,2021-05-21,A007
C022,P018,Accident,6447,Closed,2021-05-28,A011
C023,P040,Accident,14500,Closed,2021-06-04,A002
C024,P068,Theft,15661,In Review,2021-06-11,A005
C025,P005,Theft,1934,In Review,2021-06-18,A004
C026,P013,Theft,11318,In Review,2021-06-25,A007
C027,P093,Natural Disaster,17711,In Review,2021-07-02,A011
C028,P023,Accident,5967,Open,2021-07-09,A005
C029,P099,Natural Disaster,2400,Open,2021-07-16,A020
C030,P042,Theft,5939,Closed,2021-07-23,A015
C031,P025,Theft,11671,Closed,2021-07-30,A009
C032,P043,Theft,18288,Open,2021-08-06,A001
C033,P100,Theft,11424,Closed,2021-08-13,A002
C034,P091,Accident,9588,Closed,2021-08-20,A015
C035,P100,Accident,2666,Open,2021-08-27,A001
C036,P093,Natural Disaster,8961,In Review,2021-09-03,A001
C037,P009,Accident,4786,Closed,2021-09-10,A009
C038,P067,Theft,2590,In Review,2021-09-17,A014
C039,P057,Accident,2749,Open,2021-09-24,A012
C040,P062,Accident,8913,Open,2021-10-01,A011
C041,P036,Theft,6827,In Review,2021-10-08,A007
C042,P048,Natural Disaster,5434,Closed,2021-10-15,A003
C043,P045,Accident,10580,Open,2021-10-22,A011
C044,P032,Accident,4392,Open,2021-10-29,A002
C045,P087,Natural Disaster,2321,Closed,2021-11-05,A015
C046,P079,Theft,12664,Closed,2021-11-12,A006
C047,P067,Accident,6487,Open,2021-11-19,A013
C048,P062,Natural Disaster,10067,In Review,2021-11-26,A004
C049,P062,Natural Disaster,19063,Closed,2021-12-03,A008
C050,P088,Natural Disaster,16171,Open,2021-12-10,A015
C051,P075,Natural Disaster,11447,Open,2021-12-17,A005
C052,P038,Theft,4063,Open,2021-12-24,A014
C053,P006,Natural Disaster,11292,Closed,2021-12-31,A010
C054,P095,Theft,18632,Open,2022-01-07,A010
C055,P058,Theft,12761,In Review,2022-01-14,A007
C056,P009,Accident,10626,Closed,2022-01-21,A011
C057,P023,Theft,7357,Open,2022-01-28,A011
C058,P057,Natural Disaster,16094,Closed,2022-02-04,A010
C059,P090,Accident,6780,Open,2022-02-11,A002
C060,P095,Natural Disaster,9644,Open,2022-02-18,A018
C061,P071,Accident,8088,Closed,2022-02-25,A007
C062,P033,Accident,8792,Closed,2022-03-04,A003
C063,P098,Natural Disaster,9679,In Review,2022-03-11,A011
C064,P016,Accident,8675,In Review,2022-03-18,A018
C065,P047,Accident,8293,Closed,2022-03-25,A019
C066,P051,Accident,9222,In Review,2022-04-01,A012
C067,P038,Accident,6950,Closed,2022-04-08,A016
C068,P100,Theft,14051,Closed,2022-04-15,A005
C069,P084,Natural Disaster,15704,Closed,2022-04-22,A018
C070,P030,Theft,7821,Open,2022-04-29,A019
C071,P054,Natural Disaster,11304,Closed,2022-05-06,A020
C072,P057,Theft,5565,In Review,2022-05-13,A001
C073,P033,Theft,9738,In Review,2022-05-20,A001
C074,P077,Theft,2916,Open,2022-05-27,A011
C075,P058,Theft,8748,Open,2022-06-03,A016
C076,P012,Accident,12365,Closed,2022-06-10,A002
C077,P058,Theft,14917,In Review,2022-06-17,A018
C078,P062,Theft,10561,Open,2022-06-24,A003
C079,P037,Natural Disaster,9938,In Review,2022-07-01,A004
C080,P001,Theft,6970,Closed,2022-07-08,A008
C081,P030,Theft,15840,In Review,2022-07-15,A006
C082,P013,Natural Disaster,6330,Open,2022-07-22,A016
C083,P046,Natural Disaster,10257,Closed,2022-07-29,A009
C084,P049,Natural Disaster,2180,In Review,2022-08-05,A020
C085,P004,Natural Disaster,1609,In Review,2022-08-12,A008
C086,P100,Natural Disaster,15534,Open,2022-08-19,A007
C087,P099,Natural Disaster,10422,Open,2022-08-26,A006
C088,P041,Natural Disaster,14884,Open,2022-09-02,A014
C089,P024,Theft,8346,Open,2022-09-09,A015
C090,P047,Accident,11569,Closed,2022-09-16,A003
C091,P021,Natural Disaster,15829,Open,2022-09-23,A003
C092,P087,Theft,4361,Open,2022-09-30,A017
C093,P012,Accident,19989,Closed,2022-10-07,A002
C094,P077,Theft,14073,In Review,2022-10-14,A001
C095,P088,Theft,17729,In Review,2022-10-21,A016
C096,P032,Theft,19809,Open,2022-10-28,A003
C097,P004,Theft,5611,In Review,2022-11-04,A016
C098,P070,Accident,17128,Closed,2022-11-11,A005
C099,P022,Accident,6287,Open,2022-11-18,A012
C100,P016,Accident,18485,Open,2022-11-25,A015
C101,P099,Accident,4153,Open,2022-12-02,A016
C102,P012,Accident,12255,Closed,2022-12-09,A007
C103,P051,Accident,10594,In Review,2022-12-16,A013
C104,P053,Natural Disaster,5986,Open,2022-12-23,A017
C105,P020,Theft,19988,In Review,2022-12-30,A001
C106,P073,Theft,19937,Open,2023-01-06,A017
C107,P042,Accident,7700,Closed,2023-01-13,A019
C108,P039,Natural Disaster,5471,In Review,2023-01-20,A001
C109,P058,Natural Disaster,3840,Closed,2023-01-27,A005
C110,P049,Theft,11830,Closed,2023-02-03,A017
C111,P097,Accident,3208,Closed,2023-02-10,A005
C112,P058,Natural Disaster,14858,Open,2023-02-17,A013
C113,P052,Accident,7817,Open,2023-02-24,A017
C114,P092,Theft,10459,Open,2023-03-03,A007
C115,P034,Accident,3303,Open,2023-03-10,A018
C116,P056,Accident,16677,In Review,2023-03-17,A007
C117,P077,Theft,19795,Open,2023-03-24,A004
C118,P008,Accident,16955,In Review,2023-03-31,A019
C119,P007,Theft,6256,Closed,2023-04-07,A017
C120,P075,Natural Disaster,18420,In Review,2023-04-14,A013
C121,P002,Theft,3069,Closed,2023-04-21,A008
C122,P057,Accident,7372,Open,2023-04-28,A007
C123,P071,Natural Disaster,5648,In Review,2023-05-05,A012
C124,P062,Theft,17757,Closed,2023-05-12,A009
C125,P059,Natural Disaster,7908,Closed,2023-05-19,A009
C126,P041,Accident,18543,Open,2023-05-26,A005
